nombre_proyecto,desarrolladora,ciudad,estado_republica,zona,tipo_desarrollo,tipo_unidades,rango_precios,num_unidades,fecha_entrega_estimada,etapa,url_fuente,portal_fuente,fecha_deteccion,notas
En Preventa Con Excelente Ubicación En Azcapotzalco,,,,,Residencial,Departamentos,,,,Preventa,https://www.lamudi.com.mx/detalle/41032-73-304f447e6006-758-d3bcffb0-9ce6-34e9,Lamudi,2026-03-12,Detectado vía búsqueda web: NUEVODESARROLLOENPREVENTACON EXCELENTE UBICACIÓN EN AZCAPOTZALCO CON AMENIDADES ENTREGA ENERO2026
DEPARTAMENTO EN PREVENTA | CALZADA 106 | Lamudi.com.mx,,,,,Residencial,Casas,,,,Preventa,https://www.lamudi.com.mx/detalle/41032-73-881c25e306b2-a36e-fdc7ab3e-9faa-4369,Lamudi,2026-03-12,"Detectado vía búsqueda web: Al hacer click e ingresar tus datos, te registrarás en nuestros servicios y aceptarás los Términos y"
EN LA ALCALDÍA BENITO JUAREZ MUY CERCA DEL,,CDMX,CDMX,,Residencial,Locales comerciales,,,,Preventa,https://www.lamudi.com.mx/detalle/41032-73-a98aec37ce6a-f187-7829968a-a5d9-3fa5,Lamudi,2026-03-12,Detectado vía búsqueda web: Único Privée se suma a nuestros proyectos como un exclusivodesarrollodiseñado para brindar a sus hab
NUEVO PREVENTA,,,,,Residencial,Departamentos,,,,Preventa,https://www.lamudi.com.mx/detalle/41032-73-d4cf0fc97cd2-1619-19c214e-83e6-77f9,Lamudi,2026-03-12,"Detectado vía búsqueda web: ExcelentedesarrollonuevoenPREVENTA, en la colonia Santa María Nonoalco, en la Alcaldía Álvaro Obregó"
DEPARTAMENTO PREVENTA Excelente ubicacion | Lamudi.com.mx,,,,,Residencial,Departamentos,,,,Preventa,https://www.lamudi.com.mx/detalle/41032-73-b308bce63d73-509-19cc582-a88d-71aa,Lamudi,2026-03-12,Detectado vía búsqueda web: PRIMERDESARROLLOORIENTADO AL TRANSPORTE. *ATRACTIVO FINANCIAMIENTO*Preventacon fecha de entrega para
Catalina,,San Pedro,Nuevo León,Los Callejones,Residencial,Departamentos,"Desde $13,965,000 MXN",,2028-12,Preventa,https://www.behome.mx/propiedad/catalina-los-callejones-san-pedro-nl/,Behome,2026-03-13,
Torre ONDARA,,Santa Catarina,Nuevo León,Valle Poniente,Residencial,Departamentos,"Desde $7,600,000 MXN",,2029-10,Preventa,https://www.behome.mx/propiedad/torre-ondara-en-evicka-valle-poniente-santa-catarina-nl/,Behome,2026-03-13,
Lítica 2,NUEVO SUR,Monterrey,Nuevo León,Ladrillera,Residencial,Departamentos,"Desde $5,880,000 MXN",,2027-12,Preventa,https://www.behome.mx/propiedad/litica-2-nuevo-sur-ladrillera-monterrey-nl/,Behome,2026-03-13,25 niveles
WEST Fase 2,,Santa Catarina,Nuevo León,Valle Poniente,Residencial,Departamentos,"Desde $8,000,000 MXN",,2027-12,Preventa,https://www.behome.mx/propiedad/west-fase-2-valle-poniente-santa-catarina-nl/,Behome,2026-03-13,79-398 m2
ANIDA,,Monterrey,Nuevo León,Santa María,Residencial,Departamentos,"Desde $7,470,000 MXN",,2026-12,Preventa,https://www.behome.mx/propiedad/anida-santa-maria-monterrey-nl/,Behome,2026-03-13,93-156 m2
Cordillera Residencial,,Santa Catarina,Nuevo León,Valle Poniente,Residencial,Lotes,"Desde $9,975,400 MXN",,,Preventa,https://www.behome.mx/propiedad/cordillera-residencial-santa-catarina-nl-2/,Behome,2026-03-13,489-661 m2
EOMA,,Monterrey,Nuevo León,San Pedro,Residencial,Departamentos,"Desde $18,290,000 MXN",,,Preventa,https://monterreyskyline.com/property/invierte-en-valle-del-campestre/,Monterrey Skyline,2026-03-13,
Adiana,,Monterrey,Nuevo León,Centro,Residencial,Departamentos,"Desde $4,598,020 MXN",,,Preventa,https://monterreyskyline.com/property/torre-adiana-gran-preventa-de-departamentos-en-el-centro-de-monterrey/,Monterrey Skyline,2026-03-13,
Copelia,,Monterrey,Nuevo León,San Pedro,Residencial,Departamentos,"Desde $18,600,000 MXN",,,Preventa,https://monterreyskyline.com/property/departamentos-de-lujo-en-san-pedro/,Monterrey Skyline,2026-03-13,
Somara,,Monterrey,Nuevo León,Centro,Residencial,Departamentos,"Desde $4,100,000 MXN",,,Preventa,https://monterreyskyline.com/property/invierte-en-el-centro-de-monterrey/,Monterrey Skyline,2026-03-13,
San Jerónimo (Careva),,Monterrey,Nuevo León,San Jerónimo,Residencial,Departamentos,"Desde $6,200,000 MXN",,,Preventa,https://monterreyskyline.com/property/careva-la-nueva-joya-en-san-jeronimo/,Monterrey Skyline,2026-03-13,
Nahua Towers,,Monterrey,Nuevo León,San Nicolás,Residencial,Departamentos,"Desde $5,800,000 MXN",,,Preventa,https://monterreyskyline.com/property/preventa-de-departamentos-en-san-nicolas-2/,Monterrey Skyline,2026-03-13,Preventa inicial
Kauma,,Monterrey,Nuevo León,Cumbres,Residencial,Departamentos,,,,Preventa,https://monterreyskyline.com/property-city/zona-cumbres/,Monterrey Skyline,2026-03-13,
